Énumération des familles :
http://users.polytech.unice.fr/~lingrand/MarchingCubes/algo.html

Cube 0  : -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 1  : 7, 6, 11, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 2  : 5, 6, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 3  : 5, 10, 11, 7, 10, 11, -1, -1, -1, -1, -1, -1
Cube 4  : 4, 5, 9, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 5  : 6, 7, 11, 4, 5, 9, -1, -1, -1, -1, -1, -1
Cube 6  : 4, 6, 9, 6, 9, 10, -1, -1, -1, -1, -1, -1
Cube 7  : 9, 10, 11, 4, 9, 11, 4, 7, 11, -1, -1, -1
Cube 8  : 4, 7, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 9  : 4, 6, 8, 6, 8, 11, -1, -1, -1, -1, -1, -1
Cube 10 : 4, 7, 8, 5, 6, 10, -1, -1, -1, -1, -1, -1
Cube 11 : 8, 10, 11, 4, 5, 8, 5, 8, 10, -1, -1, -1
Cube 12 : 7, 5, 8, 5, 8, 9, -1, -1, -1, -1, -1, -1
Cube 13 : 8, 9, 11, 5, 6, 9, 6, 9, 11, -1, -1, -1
Cube 14 : 8, 9, 10, 7, 6, 8, 6, 8, 10, -1, -1, -1
Cube 15 : 8, 9, 10, 8, 11, 10, -1, -1, -1, -1, -1, -1
Cube 16 : 2, 3, 11, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 17 : 2, 3, 6, 3, 6, 7, -1, -1, -1, -1, -1, -1
Cube 18 : 2, 3, 11, 5, 6, 10, -1, -1, -1, -1, -1, -1
Cube 19 : 3, 5, 7, 3, 2, 5, 2, 5, 10, -1, -1, -1
Cube 20 : 4, 5, 9, 2, 3, 11, -1, -1, -1, -1, -1, -1
Cube 21 : 2, 3, 6, 3, 6, 7, 4, 5, 9, -1, -1, -1
Cube 22 : 2, 3, 11, 4, 6, 9, 6, 9, 10, -1, -1, -1
Cube 23 : 4, 9, 7, 9, 7, 2, 7, 2, 3, 9, 2, 10
Cube 24 : 2, 3, 11, 4, 7, 8, -1, -1, -1, -1, -1, -1
Cube 25 : 2, 6, 4, 2, 3, 4, 3, 4, 8, -1, -1, -1
Cube 26 : 2, 3, 11, 5, 6, 10, 4, 7, 8, -1, -1, -1
Cube 27 : 2, 3, 5, 3, 5, 4, 2, 5, 10, 3, 4, 8
Cube 28 : 2, 3, 11, 7, 5, 8, 5, 8, 9, -1, -1, -1
Cube 29 : 5, 9, 6, 9, 6, 3, 6, 3, 2, 9, 3, 8
Cube 30 : 2, 3, 11, 8, 9, 10, 7, 6, 8, 6, 8, 10
Cube 31 : 3, 2, 8, 2, 8, 10, 8, 9, 10, -1, -1, -1
Cube 32 : 1, 2, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 33 : 1, 2, 10, 6, 7, 11, -1, -1, -1, -1, -1, -1
Cube 34 : 1, 2, 5, 2, 5, 6, -1, -1, -1, -1, -1, -1
Cube 35 : 5, 1, 7, 1, 2, 11, 1, 7, 11, -1, -1, -1
Cube 36 : 1, 2, 10, 4, 5, 9, -1, -1, -1, -1, -1, -1
Cube 37 : 1, 2, 10, 6, 7, 11, 4, 5, 9, -1, -1, -1
Cube 38 : 2, 4, 6, 1, 2, 4, 1, 4, 9, -1, -1, -1
Cube 39 : 4, 1, 7, 1, 7, 2, 1, 4, 9, 2, 7, 11
Cube 40 : 1, 2, 10, 4, 7, 8, -1, -1, -1, -1, -1, -1
Cube 41 : 1, 2, 10, 4, 6, 8, 6, 8, 11, -1, -1, -1
Cube 42 : 2, 1, 6, 1, 6, 5, 4, 7, 8, -1, -1, -1
Cube 43 : 8, 4, 5, 8, 5, 2, 5, 2, 1, 8, 2, 11
Cube 44 : 1, 2, 10, 7, 5, 8, 5, 8, 9, -1, -1, -1
Cube 45 : 1, 2, 10, 8, 9, 11, 5, 6, 9, 6, 9, 11
Cube 46 : 7, 8, 6, 8, 6, 1, 6, 1, 2, 8, 1, 9
Cube 47 : 8, 9, 11, 1, 2, 9, 2, 9, 11, -1, -1, -1
Cube 48 : 1, 3, 10, 3, 10, 11, -1, -1, -1, -1, -1, -1
Cube 49 : 1, 3, 7, 1, 6, 7, 1, 6, 10, -1, -1, -1
Cube 50 : 1, 3, 5, 11, 3, 6, 3, 6, 5, -1, -1, -1
Cube 51 : 1, 3, 5, 3, 5, 7, -1, -1, -1, -1, -1, -1
Cube 52 : 1, 3, 10, 3, 10, 11, 4, 5, 9, -1, -1, -1
Cube 53 : 4, 5, 9, 1, 3, 7, 1, 6, 7, 1, 6, 10
Cube 54 : 4, 9, 1, 4, 1, 11, 1, 11, 3, 4, 11, 6
Cube 55 : 1, 3, 7, 1, 4, 7, 1, 4, 9, -1, -1, -1
Cube 56 : 4, 7, 8, 1, 3, 10, 3, 10, 11, -1, -1, -1
Cube 57 : 4, 8, 3, 4, 3, 10, 3, 10, 1, 4, 10, 6
Cube 58 : 4, 7, 8, 1, 3, 5, 3, 6, 5, 3, 6, 11
Cube 59 : 1, 3, 5, 3, 4, 5, 3, 4, 8, -1, -1, -1
Cube 60 : 1, 3, 10, 3, 10, 11, 7, 5, 8, 5, 8, 9
Cube 61 : 5, 6, 10, 3, 1, 8, 1, 8, 9, -1, -1, -1
Cube 62 : 6, 7, 11, 3, 1, 8, 1, 8, 9, -1, -1, -1
Cube 63 : 1, 3, 9, 3, 9, 8, -1, -1, -1, -1, -1, -1




Cube 64 : 1, 9, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1
Cube 65 : 1, 9, 0, 7, 6, 11, -1, -1, -1, -1, -1, -1
